account_manager,bl_number,job_order_date,customer_name,consignee_name,shipment_type,scope_of_work,service_type,cargo_type,carrier,vessel_code,container_count,commodity,shipment_date,terminal,shipment_location,overseas_port,gcss_updatedate,kewill_jobno,kewill_invoiceno,cro_date
NULL,210411959,2021-06-09,NOON,NOON,IMPORT,IH+CCD,SD,DRY,MSL,,2,GARMENTS,2021-05-14,INDIA,RIYADH,SADMM,2021-06-03,,,0000-00-00
NULL,210414319,2021-06-09,NOON,NOON,IMPORT,IH+CCD,SD,DRY,"Hapag Lloy",,1,GARMENTS,2021-05-27,INDIA,RIYADH,SADMM,0000-00-00,,,0000-00-00
NULL,210418909,2021-06-08,"MAYYUN SHIPPING CO","MAYYUN SHIPPING CO",EXPORT,IH,SD,REEF,MSL,,14,,2021-05-06,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-04-27
NULL,210433340,2021-06-07,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,,6,ELECTRONICS,2021-05-13,SADMM,RIYADH,"JABEL ALI",2021-05-07,,,0000-00-00
NULL,210434457,2021-06-09,"AL-FURSAN EST","AL-FURSAN EST",EXPORT,IH,SD,DRY,MSL,MAERSK,30,"ALUMINIUM EMPTY BEVERAGE CANS",2021-05-11,SAJED,JEDDAH,YEMEN,0000-00-00,,,2021-05-02
NULL,210437962,2021-06-09,"AL-FURSAN EST","AL-FURSAN EST",EXPORT,IH,SD,DRY,MSL,MAERSK,23,"ALUMINIUM EMPTY BEVERAGE CANS",2021-06-03,SAJED,JEDDAH,YEMEN,2021-05-25,,,2021-05-02
NULL,210438494,2021-06-07,"PHILIPS SOLUTIONS SAUDI ARABIA TRADING","PHILIPS SOLUTIONS SAUDI ARABIA TRADING",IMPORT,IH+CCD,SD,DRY,MSL,,4,ELECTRONICS,2021-05-13,SADMM,DAMMAM,"JABEL ALI",2021-05-07,,,0000-00-00
NULL,210439306,2021-06-09,"AL AREEKY","AL AREEKY",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN SOUNIO/121W",10,"WASTE PAPER",2021-06-12,SADMM,DAMMAM,INDIA,0000-00-00,,,2021-05-10
NULL,210458751,2021-06-10,"TETRA PAK MANUFACTURING LTD","TETRA PAK MANUFACTURING LTD",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN SOUNIO/118E",1,PAPER,2021-05-17,SAJED,JEDDAH,ZADUR,2021-05-12,,,0000-00-00
NULL,210467398,2021-06-13,,"OBEIKAN ELOPAK FACTORY FOR PACK CO",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GUATEMALA",3,"Paper,Paper Board and Packing materials",2021-05-22,"JEDDAH RED SEA GATEWAY TERMINAL ","RIAYDH ",MOROCCO,2021-05-23,,,2021-05-06
NULL,210494145,2021-06-08,"AMMAN DAIMOND LOGISTICS","AMMAN DAIMOND LOGISTICS",EXPORT,IH,SD,DRY,MSL,,4,,2021-05-17,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-05-03
NULL,210494569,2021-06-08,"AMMAN DAIMOND LOGISTICS","AMMAN DAIMOND LOGISTICS",EXPORT,IH,SD,DRY,MSL,,1,,2021-05-17,JOAHZTM,AMMAN,jeddah,0000-00-00,,,2021-05-03
NULL,210496951,2021-06-10,"ASHWA ADHESIVES INDUSTRIES LTD","INDEVCO FOR INDUSTRIAL DEVELOPMENT",EXPORT,IH+CCO,SD,DRY,MSL,"SANTA RITA/117W",1,PAPER,2021-05-17,JEDDAH,JEDDAH,LBBUUTM,2021-05-14,,,0000-00-00
NULL,210508989,2021-06-08,"HAJER INTERNATIONAL FACTORY","HAJER INTERNATIONAL FACTORY",IMPORT,IH+CCD,SD,DRY,MSL,MAERSK,9,"EMPTY TANKS",2021-05-31,SAJED,JEDDAH,NETHERLAND,2021-06-02,,,0000-00-00
NULL,210520090,2021-06-29,"INTERNATIONAL TIMBER CO LTD","INTERNATIONAL TIMBER CO LTD",IMPORT,IH+CCD,CY,DRY,MSL,,20,TIMBER,2021-06-25,SAJED,,SWEDEN,0000-00-00,,,0000-00-00
NULL,210532754,2021-06-08,"CLASSIC FASHION APPAREL INDUSTRY LTD","CLASSIC FASHION APPAREL INDUSTRY LTD",EXPORT,IH,CY,DRY,MSL,MAERSK,1,GARMENTS,2021-05-18,AQABA,AQABA,AQABA,0000-00-00,,,2021-05-09
NULL,210532848,2021-06-08,"SAUDI MECHANICAL INDUSTRIES CO","SAUDI MECHANICAL INDUSTRIES CO",EXPORT,IH+CCO,SD,DRY,MSL,"CAP SAN SOUNIO / 118E",1,MACHINERY,2021-05-16,SAJED,RIYADH,HOUSTON,0000-00-00,,,2021-05-02
NULL,210532880,2021-06-08,"SAUDI MECHANICAL INDUSTRIES CO","SAUDI MECHANICAL INDUSTRIES CO",EXPORT,IH+CCO,SD,DRY,MSL,"MAERSK GUAYAQUIL / 119E",1,MACHINERY,2021-05-23,SAJED,RIYADH,HOUSTON,0000-00-00,,,2021-05-02
